id,market_id,user_id,event_type,amount,onchain_tx_hash,onchain_liquidity_id,created_at
31,16,503,add,348.31,0x03f590071d9b,157245,2025-12-04T03:04:47.697637+00:00
325,40,492,add,266.63,0x0ef938022253,591380,2025-12-04T02:04:49.074889+00:00
100,22,383,remove,146.47,0x085e28064a47,463627,2025-12-04T02:04:48.010220+00:00
233,33,106,add,227.79,0x0e51ac0d28df,693350,2025-12-04T00:04:48.641717+00:00
186,29,249,remove,209.76,0x068f7c09457f,876476,2025-12-04T00:04:48.424405+00:00
140,25,288,remove,159.44,0x0c11f408a140,414520,2025-12-04T00:04:48.196615+00:00
163,27,205,remove,81.36,0x0856d708ebf3,712231,2025-12-03T22:04:48.320577+00:00
113,23,260,remove,253.4,0x0c305409dcaf,777714,2025-12-03T22:04:48.071908+00:00
39,17,370,remove,170.84,0x03c3e40416d6,923231,2025-12-03T21:04:47.764323+00:00
315,39,185,add,211.92,0x0661540d8e79,652176,2025-12-03T20:04:49.000851+00:00
127,24,104,remove,333.89,0x0bdd26043034,107439,2025-12-03T20:04:48.139559+00:00
86,21,128,remove,343.78,0x01ec9a0e9692,363092,2025-12-03T20:04:47.952240+00:00
139,25,211,remove,237.61,0x0c0c7408915a,199834,2025-12-03T19:04:48.196615+00:00
74,20,97,remove,67.39,0x0b56f50f3f17,477390,2025-12-03T19:04:47.903829+00:00
254,34,279,add,150.26,0x0bbb080e22a0,123757,2025-12-03T16:04:48.718334+00:00
253,34,239,remove,317.3,0x02dde509b57d,454291,2025-12-03T15:04:48.718334+00:00
314,39,366,add,490.04,0x071ab002a20a,63866,2025-12-03T13:04:49.000851+00:00
126,24,538,add,428.22,0x01a05b046c91,681951,2025-12-03T13:04:48.139559+00:00
232,33,68,remove,77.07,0x056b4d0d121e,975489,2025-12-03T12:04:48.641717+00:00
324,40,258,add,329.56,0x030a0e04130a,790308,2025-12-03T10:04:49.074889+00:00
377,44,61,add,147.96,0x02c16e0e83d3,756046,2025-12-03T09:04:49.300847+00:00
38,17,477,add,245.54,0x04776307cd96,443887,2025-12-03T08:04:47.764323+00:00
99,22,427,remove,295.71,0x0ec5ac0d0f10,975578,2025-12-03T07:04:48.010220+00:00
73,20,531,remove,197.74,0x0758de0caac0,648070,2025-12-03T06:04:47.903829+00:00
98,22,457,add,172.76,0x0c9f7d07a498,344592,2025-12-03T05:04:48.010220+00:00
64,19,222,remove,238.22,0x084c0d09813b,688194,2025-12-03T05:04:47.856522+00:00
30,16,62,add,437.18,0x03159a0684a1,202937,2025-12-03T05:04:47.697637+00:00
252,34,239,add,72.6,0x0ef0f20ca506,181592,2025-12-03T04:04:48.718334+00:00
185,29,294,add,87.39,0x0afafb03f071,268308,2025-12-03T03:04:48.424405+00:00
302,38,543,remove,118.74,0x081d340dce83,813468,2025-12-03T02:04:48.940483+00:00
162,27,137,remove,416.07,0x0956b20273ff,822263,2025-12-03T02:04:48.320577+00:00
63,19,297,remove,210.4,0x0ba53d02b0c5,199969,2025-12-03T02:04:47.856522+00:00
138,25,426,remove,386.16,0x081ea4093755,113336,2025-12-03T01:04:48.196615+00:00
161,27,251,add,413.3,0x0c515a05522f,535075,2025-12-03T00:04:48.320577+00:00
112,23,429,add,325.45,0x0e791c0cf2dc,524957,2025-12-02T23:04:48.071908+00:00
85,21,327,remove,482.98,0x0e5e240d05fb,5747,2025-12-02T23:04:47.952240+00:00
231,33,161,remove,145.65,0x0cd06606bea3,26214,2025-12-02T22:04:48.641717+00:00
376,44,277,add,305.28,0x0f1c620d7ada,519275,2025-12-02T21:04:49.300847+00:00
184,29,360,remove,456.69,0x08c1070b2ee7,196017,2025-12-02T21:04:48.424405+00:00
72,20,408,remove,273.07,0x0ec1f102bab8,604332,2025-12-02T21:04:47.903829+00:00
375,44,446,add,230.32,0x0f34600e8c5a,671009,2025-12-02T20:04:49.300847+00:00
230,33,446,add,139.64,0x0d63f107e7d2,910696,2025-12-02T19:04:48.641717+00:00
301,38,158,add,265.24,0x0a1f420ef129,478940,2025-12-02T17:04:48.940483+00:00
137,25,150,remove,108.55,0x03e8fa0ac769,195812,2025-12-02T17:04:48.196615+00:00
313,39,233,add,75.47,0x0d281107a461,993931,2025-12-02T15:04:49.000851+00:00
62,19,388,remove,232.93,0x0209d40915a9,143829,2025-12-02T15:04:47.856522+00:00
323,40,291,add,66.21,0x0420a706218f,330489,2025-12-02T14:04:49.074889+00:00
125,24,401,remove,355.66,0x036a610a07ea,348220,2025-12-02T14:04:48.139559+00:00
251,34,502,remove,339.05,0x01f2b7043e1c,26076,2025-12-02T13:04:48.718334+00:00
97,22,301,remove,122.02,0x03be3208e7d5,367304,2025-12-02T12:04:48.010220+00:00
29,16,411,remove,110.1,0x0a56aa03b9f4,919887,2025-12-02T12:04:47.697637+00:00
322,40,291,add,393.31,0x0d7c6302cd61,709383,2025-12-02T10:04:49.074889+00:00
312,39,455,add,162.96,0x066bc80502b1,569191,2025-12-02T10:04:49.000851+00:00
183,29,459,remove,369.0,0x040a1709585f,463117,2025-12-02T09:04:48.424405+00:00
160,27,114,remove,353.33,0x0d1b330664ec,897906,2025-12-02T09:04:48.320577+00:00
37,17,134,add,256.7,0x09f7f30a1168,695474,2025-12-02T08:04:47.764323+00:00
280,36,338,remove,254.91,0x0b0c2b0c709b,195691,2025-12-02T06:04:48.826417+00:00
96,22,404,remove,291.23,0x0bc8c60dca13,278728,2025-12-02T05:04:48.010220+00:00
84,21,496,remove,72.87,0x0cd91c082e96,972368,2025-12-02T05:04:47.952240+00:00
61,19,344,add,387.67,0x0b94120e9903,191467,2025-12-02T05:04:47.856522+00:00
28,16,212,add,362.29,0x096d68038c54,452463,2025-12-02T04:04:47.697637+00:00
300,38,201,add,288.57,0x089fd101d0b0,974037,2025-12-02T03:04:48.940483+00:00
250,34,442,add,318.3,0x0c723a018dc5,610577,2025-12-02T02:04:48.718334+00:00
229,33,169,remove,67.73,0x02a4770c633f,78120,2025-12-02T02:04:48.641717+00:00
71,20,309,add,214.01,0x0c7cdd0d5e3b,606905,2025-12-02T02:04:47.903829+00:00
374,44,345,remove,209.2,0x067cb8098c46,988729,2025-12-02T01:04:49.300847+00:00
249,34,527,add,329.58,0x07882f018c9c,200110,2025-12-02T01:04:48.718334+00:00
136,25,61,remove,357.93,0x0311b608bace,738428,2025-12-02T01:04:48.196615+00:00
111,23,402,add,387.78,0x0c921e0c9185,110682,2025-12-02T00:04:48.071908+00:00
179,28,483,add,183.5,0x099e190b51c0,68495,2025-12-01T23:04:48.378205+00:00
95,22,444,remove,390.1,0x06432d0c637e,920125,2025-12-01T23:04:48.010220+00:00
299,38,513,add,396.52,0x0b73b9093a9a,730076,2025-12-01T22:04:48.940483+00:00
83,21,543,add,282.77,0x01b2c20731a2,330326,2025-12-01T20:04:47.952240+00:00
94,22,140,add,110.75,0x08e9c5094a95,229512,2025-12-01T19:04:48.010220+00:00
298,38,395,remove,200.34,0x0d1b3a08a3ed,971722,2025-12-01T18:04:48.940483+00:00
70,20,372,remove,498.75,0x02993b068429,988521,2025-12-01T17:04:47.903829+00:00
228,33,154,add,207.79,0x0df22608e2b4,538227,2025-12-01T16:04:48.641717+00:00
182,29,66,add,306.97,0x039c3909797b,348650,2025-12-01T16:04:48.424405+00:00
159,27,243,remove,122.96,0x03d7660a5366,517366,2025-12-01T15:04:48.320577+00:00
60,19,260,remove,222.46,0x088d450dc85a,362260,2025-12-01T15:04:47.856522+00:00
124,24,118,remove,416.56,0x03e9290bd6c6,436483,2025-12-01T14:04:48.139559+00:00
321,40,216,add,131.98,0x060c0c02a36a,482827,2025-12-01T13:04:49.074889+00:00
93,22,549,remove,438.78,0x03f41001b1c8,293436,2025-12-01T12:04:48.010220+00:00
59,19,456,add,296.74,0x02f0b9098f4b,513443,2025-12-01T11:04:47.856522+00:00
36,17,75,remove,81.82,0x029a95058365,124515,2025-12-01T11:04:47.764323+00:00
311,39,132,remove,432.57,0x059c0c0df46c,359456,2025-12-01T10:04:49.000851+00:00
69,20,360,add,353.52,0x0d01ce051603,417790,2025-12-01T10:04:47.903829+00:00
92,22,451,remove,292.55,0x0f1ab90a0141,758693,2025-12-01T09:04:48.010220+00:00
373,44,257,remove,145.73,0x0b66dc06e12f,449097,2025-12-01T08:04:49.300847+00:00
320,40,111,remove,447.81,0x0bd0c802453e,246949,2025-12-01T08:04:49.074889+00:00
27,16,386,remove,351.96,0x0aaedc094302,586152,2025-12-01T08:04:47.697637+00:00
279,36,492,add,489.17,0x03a3b108e870,295179,2025-12-01T07:04:48.826417+00:00
110,23,266,remove,335.1,0x09eccd030915,220661,2025-12-01T07:04:48.071908+00:00
372,44,187,add,321.33,0x039f7a018cd2,961708,2025-12-01T06:04:49.300847+00:00
181,29,259,remove,399.56,0x0d216d057b81,598377,2025-12-01T06:04:48.424405+00:00
58,19,237,add,150.62,0x0766630e202d,579862,2025-12-01T05:04:47.856522+00:00
135,25,224,remove,277.97,0x0d914306a8fc,274497,2025-12-01T04:04:48.196615+00:00
26,16,524,add,403.95,0x01ffd20e3840,214606,2025-12-01T02:04:47.697637+00:00
248,34,448,add,447.81,0x0bdec20254b4,304373,2025-12-01T01:04:48.718334+00:00
158,27,105,add,192.52,0x0b0fbf0d99f1,758641,2025-12-01T01:04:48.320577+00:00
53,18,314,add,496.8,0x0e076003c494,653280,2025-12-01T00:04:47.810738+00:00
178,28,321,add,444.84,0x025d6d056116,167925,2025-11-30T23:04:48.378205+00:00
365,43,406,add,298.71,0x0cd723042dcb,192585,2025-11-30T22:04:49.256286+00:00
345,41,303,remove,241.56,0x0cf9580be74a,92009,2025-11-30T22:04:49.141719+00:00
297,38,205,remove,150.87,0x0a702f09154d,864718,2025-11-30T21:04:48.940483+00:00
82,21,384,remove,205.35,0x0421e1042f00,469731,2025-11-30T21:04:47.952240+00:00
278,36,287,add,419.14,0x0530a706ef1d,692282,2025-11-30T19:04:48.826417+00:00
227,33,230,add,494.23,0x04b1e4062b7a,669922,2025-11-30T19:04:48.641717+00:00
52,18,554,remove,480.3,0x07142a032ca3,759300,2025-11-30T19:04:47.810738+00:00
25,16,329,remove,240.52,0x0eb4ea0783e2,398059,2025-11-30T19:04:47.697637+00:00
290,37,202,remove,293.47,0x0b3100067fcc,407217,2025-11-30T18:04:48.894799+00:00
364,43,170,add,283.92,0x0402770de70b,799838,2025-11-30T17:04:49.256286+00:00
310,39,203,add,171.31,0x02d5bd0e82d2,369566,2025-11-30T17:04:49.000851+00:00
247,34,434,add,147.91,0x0304fa0ddb0a,255668,2025-11-30T17:04:48.718334+00:00
91,22,290,add,218.23,0x065299024531,462359,2025-11-30T17:04:48.010220+00:00
68,20,256,remove,190.65,0x03336b0b83f0,300058,2025-11-30T17:04:47.903829+00:00
363,43,378,remove,335.45,0x01bfde0b564b,449120,2025-11-30T15:04:49.256286+00:00
134,25,204,add,382.04,0x05256008709b,1795,2025-11-30T15:04:48.196615+00:00
362,43,169,remove,462.63,0x05a39007c7cb,632214,2025-11-30T14:04:49.256286+00:00
309,39,528,add,376.49,0x055e3a0c5d66,859532,2025-11-30T14:04:49.000851+00:00
289,37,260,add,77.88,0x0a34320a1811,981430,2025-11-30T14:04:48.894799+00:00
123,24,403,remove,135.18,0x0c24c10af6fa,273794,2025-11-30T14:04:48.139559+00:00
35,17,545,remove,446.5,0x09986a0d80b0,346145,2025-11-30T14:04:47.764323+00:00
109,23,339,remove,203.53,0x0ad30b020b13,706321,2025-11-30T13:04:48.071908+00:00
81,21,96,remove,491.55,0x05a6160ab07f,593332,2025-11-30T13:04:47.952240+00:00
57,19,414,remove,329.83,0x0d93c3050750,217130,2025-11-30T13:04:47.856522+00:00
319,40,197,remove,228.24,0x03cf8b053b90,415879,2025-11-30T12:04:49.074889+00:00
344,41,201,add,318.88,0x0dae26020096,737062,2025-11-30T11:04:49.141719+00:00
371,44,336,remove,105.27,0x0f2f0501af52,538272,2025-11-30T09:04:49.300847+00:00
318,40,271,add,250.73,0x0be0cf0d29ed,681526,2025-11-30T09:04:49.074889+00:00
226,33,470,remove,238.64,0x079e9a0936b5,554291,2025-11-30T09:04:48.641717+00:00
204,30,446,remove,266.02,0x0e485b047f9e,671608,2025-11-30T09:04:48.483902+00:00
180,29,213,add,252.12,0x0708f4076ebc,471861,2025-11-30T09:04:48.424405+00:00
246,34,209,add,374.05,0x033e3e04eb0d,572286,2025-11-30T07:04:48.718334+00:00
157,27,507,add,467.25,0x0884ce02d69f,574692,2025-11-30T06:04:48.320577+00:00
177,28,236,add,87.29,0x0bb3c20a29db,710532,2025-11-30T05:04:48.378205+00:00
133,25,492,remove,238.32,0x04717b0c7459,263776,2025-11-30T03:04:48.196615+00:00
56,19,464,add,192.02,0x0b248e06ac15,520358,2025-11-30T03:04:47.856522+00:00
343,41,139,remove,229.44,0x025d0f0e0355,450531,2025-11-30T02:04:49.141719+00:00
296,38,222,remove,373.74,0x081df20cdb32,389878,2025-11-30T02:04:48.940483+00:00
342,41,357,add,232.08,0x09bd7d06e25c,751863,2025-11-30T01:04:49.141719+00:00
176,28,520,add,181.86,0x0ee4e60edde7,514596,2025-11-30T01:04:48.378205+00:00
67,20,460,remove,110.82,0x0732e506af7f,700308,2025-11-30T01:04:47.903829+00:00
122,24,432,add,337.94,0x0a1c600bf92b,666925,2025-11-30T00:04:48.139559+00:00
24,16,512,remove,389.37,0x08621c06bde3,94968,2025-11-30T00:04:47.697637+00:00
175,28,530,add,145.69,0x0789ef0db63b,917466,2025-11-29T23:04:48.378205+00:00
90,22,182,add,58.83,0x0a9e51080552,791309,2025-11-29T23:04:48.010220+00:00
288,37,454,add,115.22,0x073c620c4c27,791817,2025-11-29T21:04:48.894799+00:00
277,36,227,remove,235.2,0x075d610c2c8f,515895,2025-11-29T21:04:48.826417+00:00
245,34,170,add,451.72,0x03d8d20e14dc,589048,2025-11-29T21:04:48.718334+00:00
121,24,249,add,108.78,0x059f0b0d3a21,615884,2025-11-29T21:04:48.139559+00:00
108,23,165,remove,249.22,0x0a3531053aef,375492,2025-11-29T20:04:48.071908+00:00
244,34,554,add,391.39,0x0897d7028cfc,222132,2025-11-29T19:04:48.718334+00:00
225,32,381,add,104.46,0x02043b0ef629,779080,2025-11-29T19:04:48.591253+00:00
66,20,477,remove,470.77,0x08f7a70b9125,997750,2025-11-29T19:04:47.903829+00:00
55,19,472,remove,123.03,0x05d7c509ec26,784355,2025-11-29T19:04:47.856522+00:00
51,18,385,remove,179.57,0x02598106e8ff,578992,2025-11-29T19:04:47.810738+00:00
34,17,178,remove,219.72,0x0c0930018891,616040,2025-11-29T19:04:47.764323+00:00
370,44,311,remove,269.1,0x0d2b180ddb5c,932053,2025-11-29T18:04:49.300847+00:00
308,39,102,add,464.66,0x03d08c060046,361243,2025-11-29T18:04:49.000851+00:00
361,43,487,remove,258.27,0x049cdc0b593a,547214,2025-11-29T17:04:49.256286+00:00
132,25,323,add,96.53,0x0cb04806f048,580498,2025-11-29T17:04:48.196615+00:00
80,21,170,add,345.83,0x0300870ec1c6,422594,2025-11-29T17:04:47.952240+00:00
50,18,319,remove,81.86,0x062f0d0d6d3f,930096,2025-11-29T17:04:47.810738+00:00
287,37,70,remove,474.13,0x09aa28025fb7,935120,2025-11-29T16:04:48.894799+00:00
156,27,410,remove,276.04,0x05df02038847,913335,2025-11-29T16:04:48.320577+00:00
286,37,84,add,376.6,0x08af8a0da291,69102,2025-11-29T12:04:48.894799+00:00
107,23,348,remove,255.86,0x0bbbaa0ba340,646967,2025-11-29T12:04:48.071908+00:00
203,30,269,remove,344.46,0x0736bc084cde,891007,2025-11-29T11:04:48.483902+00:00
120,24,182,add,384.72,0x02ee36070996,854260,2025-11-29T11:04:48.139559+00:00
295,38,321,add,145.35,0x0c14890ad091,427316,2025-11-29T10:04:48.940483+00:00
131,25,84,remove,193.72,0x03dbc4093fc4,924926,2025-11-29T10:04:48.196615+00:00
341,41,102,add,157.58,0x0d3a6e04e1a3,237661,2025-11-29T09:04:49.141719+00:00
307,39,379,remove,369.49,0x081082046e83,778023,2025-11-29T09:04:49.000851+00:00
202,30,403,add,353.19,0x0c7e2a0c4d95,787793,2025-11-29T09:04:48.483902+00:00
155,27,318,add,55.09,0x0b8c10029982,419195,2025-11-29T09:04:48.320577+00:00
89,22,531,add,385.95,0x0a733e0a5244,185823,2025-11-29T09:04:48.010220+00:00
65,20,168,remove,417.46,0x08757d03e2fa,646958,2025-11-29T09:04:47.903829+00:00
54,19,113,remove,473.21,0x08723c0e7249,800709,2025-11-29T09:04:47.856522+00:00
33,17,337,add,294.02,0x0a383a044c2f,929177,2025-11-29T08:04:47.764323+00:00
276,36,130,remove,358.26,0x0873180ddb0f,193553,2025-11-29T07:04:48.826417+00:00
355,42,539,remove,62.57,0x0e0a1f07f8d8,131465,2025-11-29T05:04:49.214644+00:00
174,28,402,remove,418.43,0x0702aa0509aa,15582,2025-11-29T05:04:48.378205+00:00
49,18,86,remove,107.56,0x02842e08fccd,986594,2025-11-29T04:04:47.810738+00:00
23,16,358,add,330.93,0x0ad2f50cda5f,332256,2025-11-29T04:04:47.697637+00:00
369,44,284,add,70.84,0x0b64c707f2e3,378433,2025-11-29T03:04:49.300847+00:00
215,31,395,remove,472.36,0x0c17a5075ce9,15891,2025-11-29T03:04:48.540259+00:00
106,23,536,add,304.45,0x026c7804f57e,213749,2025-11-29T03:04:48.071908+00:00
48,18,211,add,461.57,0x07d1110ee344,114698,2025-11-29T03:04:47.810738+00:00
275,36,378,remove,141.82,0x0cea7407abb2,903354,2025-11-29T02:04:48.826417+00:00
214,31,505,add,268.16,0x0276d1048138,11373,2025-11-29T01:04:48.540259+00:00
47,18,486,add,364.86,0x0e5f05091902,848223,2025-11-29T01:04:47.810738+00:00
360,43,116,remove,299.65,0x01e39b0ab595,948540,2025-11-29T00:04:49.256286+00:00
306,39,332,add,477.24,0x0cee6301fcec,506001,2025-11-28T23:04:49.000851+00:00
243,34,527,remove,334.24,0x05eb7f0d5ef2,373191,2025-11-28T23:04:48.718334+00:00
224,32,191,remove,273.42,0x0bff5205348e,13537,2025-11-28T23:04:48.591253+00:00
105,23,522,remove,89.2,0x02179b0a4dd3,196859,2025-11-28T22:04:48.071908+00:00
46,18,385,add,83.34,0x0ec7c5053198,159468,2025-11-28T21:04:47.810738+00:00
19,15,109,remove,456.34,0x07245a0e54cc,137219,2025-11-28T20:04:47.624806+00:00
359,43,112,add,175.48,0x0d108209ef99,631947,2025-11-28T19:04:49.256286+00:00
294,38,217,add,359.4,0x0a75d1081d93,452497,2025-11-28T19:04:48.940483+00:00
79,21,149,add,279.54,0x05fd7d06ec37,855760,2025-11-28T19:04:47.952240+00:00
354,42,101,add,54.64,0x04fa3c033f79,3797,2025-11-28T18:04:49.214644+00:00
130,25,223,remove,402.76,0x01b7db0de132,651539,2025-11-28T17:04:48.196615+00:00
285,37,137,remove,63.46,0x0bb2b509a455,478321,2025-11-28T15:04:48.894799+00:00
274,36,351,add,457.43,0x0a5ac802a300,239545,2025-11-28T15:04:48.826417+00:00
201,30,178,remove,213.89,0x0a5da6032c2d,841455,2025-11-28T15:04:48.483902+00:00
200,30,326,remove,209.23,0x02d4b90710ed,959365,2025-11-28T14:04:48.483902+00:00
173,28,374,add,183.61,0x0a3cf60550ba,647940,2025-11-28T14:04:48.378205+00:00
119,24,425,remove,441.38,0x0e1326053a89,407012,2025-11-28T13:04:48.139559+00:00
118,24,382,add,145.52,0x0a270902f456,705783,2025-11-28T11:04:48.139559+00:00
340,41,516,add,175.6,0x0ac8a4091bb6,637572,2025-11-28T10:04:49.141719+00:00
213,31,512,add,59.18,0x04d97f06cfac,534303,2025-11-28T10:04:48.540259+00:00
22,16,464,remove,496.83,0x03e99f0bed4d,342147,2025-11-28T10:04:47.697637+00:00
368,44,390,add,477.22,0x0f2e2e0b9a6c,880023,2025-11-28T09:04:49.300847+00:00
129,25,88,add,297.21,0x0e8791064954,780399,2025-11-28T09:04:48.196615+00:00
117,24,353,remove,458.55,0x08bbc50ed17d,460030,2025-11-28T09:04:48.139559+00:00
32,17,454,add,180.45,0x0c3ff2082834,602773,2025-11-28T09:04:47.764323+00:00
367,44,76,remove,325.48,0x0d98de0bbb17,333377,2025-11-28T08:04:49.300847+00:00
154,26,290,add,235.73,0x096d5408a0cc,868848,2025-11-28T05:04:48.267990+00:00
18,15,438,remove,126.32,0x05de850838a7,151348,2025-11-28T05:04:47.624806+00:00
242,34,268,remove,238.1,0x0f2ff60ef44d,585685,2025-11-28T04:04:48.718334+00:00
172,28,69,add,442.7,0x0d118c044b96,505336,2025-11-28T04:04:48.378205+00:00
78,21,305,add,363.09,0x02784306bc2e,824664,2025-11-28T04:04:47.952240+00:00
339,41,220,remove,266.05,0x09fb670e2786,973314,2025-11-28T03:04:49.141719+00:00
199,30,270,add,104.31,0x02e57207f54f,363152,2025-11-28T03:04:48.483902+00:00
223,32,64,remove,419.99,0x0c4e3f0cb26a,508020,2025-11-28T02:04:48.591253+00:00
153,26,453,remove,201.24,0x03d8320419ca,853633,2025-11-28T02:04:48.267990+00:00
305,39,125,add,364.51,0x0b9ae10eb934,185664,2025-11-28T01:04:49.000851+00:00
273,36,373,remove,53.95,0x0d43fe0e565b,73458,2025-11-28T01:04:48.826417+00:00
265,35,187,add,291.06,0x06098d01b757,831571,2025-11-28T01:04:48.777793+00:00
104,23,350,add,114.61,0x0f01ca09eb89,69400,2025-11-28T01:04:48.071908+00:00
21,16,431,add,155.74,0x0975d605af2f,195051,2025-11-28T01:04:47.697637+00:00
358,43,131,add,75.6,0x046f0102611f,49380,2025-11-27T23:04:49.256286+00:00
293,38,149,add,263.3,0x040fd30d6532,811934,2025-11-27T23:04:48.940483+00:00
45,18,254,add,165.95,0x0f345002ad56,721786,2025-11-27T23:04:47.810738+00:00
353,42,302,add,177.1,0x0db15c04de12,561248,2025-11-27T19:04:49.214644+00:00
212,31,479,remove,132.84,0x06c08404b615,347514,2025-11-27T18:04:48.540259+00:00
338,41,408,remove,385.47,0x0883b80d0ebc,829780,2025-11-27T17:04:49.141719+00:00
284,37,413,remove,188.3,0x0b43dc0d5f56,67510,2025-11-27T17:04:48.894799+00:00
44,18,386,remove,342.54,0x02a9de075720,978647,2025-11-27T16:04:47.810738+00:00
198,30,244,remove,290.17,0x0c31a506ac4b,9726,2025-11-27T14:04:48.483902+00:00
272,36,428,remove,124.1,0x053bca0c349c,894046,2025-11-27T13:04:48.826417+00:00
171,28,91,remove,218.47,0x089fa90e98d3,407765,2025-11-27T13:04:48.378205+00:00
337,41,154,add,154.6,0x036849030028,729516,2025-11-27T12:04:49.141719+00:00
304,39,229,add,229.52,0x0248ba094194,726621,2025-11-27T12:04:49.000851+00:00
271,36,322,remove,56.72,0x0b57be07664e,763972,2025-11-27T11:04:48.826417+00:00
17,15,106,remove,51.47,0x0b84140e6384,836259,2025-11-27T11:04:47.624806+00:00
16,15,537,add,421.62,0x06d7b3034520,3272,2025-11-27T10:04:47.624806+00:00
366,44,291,remove,196.64,0x09798703b34d,488676,2025-11-27T09:04:49.300847+00:00
303,39,141,remove,386.01,0x0346f305467d,438182,2025-11-27T09:04:49.000851+00:00
241,34,366,remove,492.72,0x0ab8dc0dfaa2,829933,2025-11-27T09:04:48.718334+00:00
211,31,278,remove,91.1,0x0a391502329c,33719,2025-11-27T09:04:48.540259+00:00
20,16,529,remove,426.33,0x02c75b076ef8,884528,2025-11-27T09:04:47.697637+00:00
197,30,142,add,484.26,0x0b4aab0ecf32,835305,2025-11-27T08:04:48.483902+00:00
270,36,190,remove,422.34,0x0489e00ee592,143005,2025-11-27T07:04:48.826417+00:00
222,32,94,add,110.79,0x096318084963,770661,2025-11-27T07:04:48.591253+00:00
43,18,549,add,248.49,0x01b173063d18,647069,2025-11-27T07:04:47.810738+00:00
264,35,180,add,374.27,0x08eac9032dc5,540424,2025-11-27T06:04:48.777793+00:00
357,43,87,remove,472.85,0x0563820f3c24,237316,2025-11-27T05:04:49.256286+00:00
292,38,267,add,241.02,0x0b72ae02d7e4,262788,2025-11-27T05:04:48.940483+00:00
210,31,158,add,359.65,0x0daea80b57d5,929372,2025-11-27T05:04:48.540259+00:00
77,21,170,add,110.7,0x08ed42080457,616506,2025-11-27T05:04:47.952240+00:00
