id,market_id,outcome_type,price,supply,created_at,updated_at
43,32,YES,0.488774,1833.25,2025-11-30T09:04:27.013658+00:00,2025-11-30T09:04:27.013667+00:00
44,32,NO,0.511226,68.51,2025-11-30T09:04:27.017073+00:00,2025-11-30T09:04:27.017080+00:00
45,33,YES,0.517319,2692.08,2025-11-30T09:04:27.021941+00:00,2025-11-30T09:04:27.021950+00:00
46,33,NO,0.482681,2461.68,2025-11-30T09:04:27.024760+00:00,2025-11-30T09:04:27.024768+00:00
47,34,YES,0.492493,2090.62,2025-11-30T09:04:27.031407+00:00,2025-11-30T09:04:27.031415+00:00
48,34,NO,0.507507,925.16,2025-11-30T09:04:27.033993+00:00,2025-11-30T09:04:27.034000+00:00
49,35,YES,0.505257,3310.43,2025-11-30T09:04:27.039122+00:00,2025-11-30T09:04:27.039130+00:00
50,35,NO,0.494743,2048.61,2025-11-30T09:04:27.041459+00:00,2025-11-30T09:04:27.041467+00:00
51,36,YES,0.508993,2001.57,2025-11-30T09:04:27.047667+00:00,2025-11-30T09:04:27.047676+00:00
52,36,NO,0.491007,0.0,2025-11-30T09:04:27.050356+00:00,2025-11-30T09:04:27.050364+00:00
53,37,YES,0.495597,0.0,2025-11-30T09:04:27.055096+00:00,2025-11-30T09:04:27.055104+00:00
54,37,NO,0.504403,3226.53,2025-11-30T09:04:27.057688+00:00,2025-11-30T09:04:27.057696+00:00
55,38,YES,0.473945,3469.26,2025-11-30T09:04:27.065560+00:00,2025-11-30T09:04:27.065569+00:00
56,38,NO,0.526055,1643.76,2025-11-30T09:04:27.068241+00:00,2025-11-30T09:04:27.068248+00:00
57,39,YES,0.480732,3810.11,2025-11-30T09:04:27.072625+00:00,2025-11-30T09:04:27.072632+00:00
58,39,NO,0.519268,750.07,2025-11-30T09:04:27.074823+00:00,2025-11-30T09:04:27.074830+00:00
59,40,YES,0.498396,1201.34,2025-11-30T09:04:27.081323+00:00,2025-11-30T09:04:27.081333+00:00
60,40,NO,0.501604,1859.48,2025-11-30T09:04:27.083651+00:00,2025-11-30T09:04:27.083657+00:00
61,41,YES,0.515453,4371.97,2025-11-30T09:04:27.088379+00:00,2025-11-30T09:04:27.088386+00:00
62,41,NO,0.484547,4493.63,2025-11-30T09:04:27.091946+00:00,2025-11-30T09:04:27.091955+00:00
63,42,YES,0.491224,3805.51,2025-11-30T09:04:27.099369+00:00,2025-11-30T09:04:27.099378+00:00
64,42,NO,0.508776,1370.17,2025-11-30T09:04:27.101638+00:00,2025-11-30T09:04:27.101645+00:00
65,43,YES,0.498983,934.19,2025-11-30T09:04:27.106374+00:00,2025-11-30T09:04:27.106381+00:00
66,43,NO,0.501017,2634.42,2025-11-30T09:04:27.108522+00:00,2025-11-30T09:04:27.108532+00:00
67,44,YES,0.48346,984.48,2025-11-30T09:04:27.114477+00:00,2025-11-30T09:04:27.114486+00:00
68,44,NO,0.51654,803.07,2025-11-30T09:04:27.117281+00:00,2025-11-30T09:04:27.117289+00:00
