id,user_id,market_id,outcome_type,trade_type,amount_staked,tokens_amount,price_at_execution,onchain_trade_id,onchain_tx_hash,created_at
13259,540,16,NO,buy,32.97,48.09,0.685554,324023,0x0be3a80e41ae,2025-11-30T20:37:36.607519+00:00
9905,364,17,NO,sell,29.44,66.6,0.442052,53156,0x0a7c1c025734,2025-11-30T20:34:56.253548+00:00
9511,343,42,YES,buy,28.33,46.13,0.614141,338383,0x09e7ca0d914f,2025-11-30T20:33:21.699582+00:00
4162,64,20,YES,sell,4.32,8.46,0.510424,533280,0x09a4a30e1bc5,2025-11-30T20:32:54.573924+00:00
7304,232,22,YES,sell,38.05,84.84,0.448502,419458,0x0237b302da91,2025-11-30T20:32:31.356039+00:00
4046,58,37,NO,sell,16.02,40.84,0.392215,331876,0x0d1101049b73,2025-11-30T20:31:21.120420+00:00
8352,285,34,YES,buy,33.0,48.24,0.684046,595397,0x0e63e20c6c45,2025-11-30T20:29:56.251341+00:00
11832,466,32,YES,buy,25.67,49.61,0.51745,115070,0x0c0b1807d405,2025-11-30T20:26:14.446701+00:00
6668,201,34,NO,sell,41.84,70.04,0.597405,365519,0x0338be0a6112,2025-11-30T20:25:34.925906+00:00
9311,332,19,YES,buy,30.81,79.18,0.389119,997696,0x054b62073c23,2025-11-30T20:23:50.905483+00:00
11361,443,21,YES,buy,47.0,140.06,0.335574,91205,0x0c1ec8091b6d,2025-11-30T20:23:05.772966+00:00
9265,329,17,NO,buy,36.16,60.42,0.598517,912976,0x02c7de051f82,2025-11-30T20:23:05.737607+00:00
9904,364,38,NO,buy,34.63,64.99,0.532817,354491,0x0888030640b9,2025-11-30T20:19:54.253548+00:00
10156,379,28,YES,buy,11.05,18.95,0.583042,991653,0x0901000794cd,2025-11-30T20:19:42.240051+00:00
8419,289,15,NO,buy,27.07,71.33,0.379489,970841,0x0a10910779d1,2025-11-30T20:18:00.489641+00:00
9510,343,39,NO,buy,9.36,26.31,0.355774,191169,0x0d31c6038b23,2025-11-30T20:17:37.699582+00:00
11831,466,27,NO,sell,10.3,16.06,0.641384,915035,0x0ad49e0682fe,2025-11-30T20:15:25.446701+00:00
7392,237,21,YES,buy,1.42,2.14,0.66296,51384,0x03de6302b262,2025-11-30T20:15:24.699723+00:00
5180,121,18,YES,buy,16.58,27.6,0.600749,846241,0x046aa8070c74,2025-11-30T20:14:37.491061+00:00
5801,151,24,YES,sell,30.54,49.28,0.619727,935331,0x01c7fa0b79c5,2025-11-30T20:14:36.782167+00:00
8466,291,28,NO,buy,12.63,29.17,0.432974,434033,0x089fb00f22fc,2025-11-30T20:11:25.664216+00:00
10251,383,42,YES,buy,26.58,43.25,0.614547,985414,0x04acea09870b,2025-11-30T20:11:15.596740+00:00
9425,338,35,YES,buy,17.53,25.7,0.682187,64276,0x03882602911c,2025-11-30T20:09:13.349984+00:00
4045,58,24,NO,sell,28.12,64.27,0.437503,347859,0x0d75f90a5504,2025-11-30T20:07:10.120420+00:00
4140,63,33,YES,sell,30.65,61.23,0.500547,109529,0x02840f08bbf7,2025-11-30T20:07:02.491714+00:00
12996,527,19,NO,buy,24.97,52.98,0.471344,831613,0x0489510424a4,2025-11-30T20:06:41.686250+00:00
6399,186,43,NO,buy,47.1,76.76,0.613586,536294,0x074e2006e54d,2025-11-30T20:06:14.957147+00:00
4161,64,31,YES,buy,15.27,50.79,0.300626,599384,0x072bc2055ff9,2025-11-30T20:04:18.573924+00:00
7303,232,32,NO,buy,19.49,32.97,0.591155,441798,0x07bdf306d4b1,2025-11-30T20:00:59.356039+00:00
8351,285,19,YES,buy,21.93,42.8,0.512361,228552,0x052cdd030271,2025-11-30T19:56:11.251341+00:00
4655,91,41,YES,buy,38.51,59.06,0.652053,319083,0x082688081b1c,2025-11-30T19:55:54.486544+00:00
13258,540,29,YES,buy,3.59,6.4,0.561108,517263,0x07027a0e97c5,2025-11-30T19:54:43.607519+00:00
5800,151,24,NO,buy,6.44,9.55,0.674012,666030,0x0c3a7404ae13,2025-11-30T19:52:33.782167+00:00
8465,291,38,YES,sell,37.12,73.63,0.504168,268709,0x03b49f0bff13,2025-11-30T19:51:35.664216+00:00
11658,458,43,NO,buy,1.72,5.04,0.340991,49720,0x09976e0d79e6,2025-11-30T19:50:57.832761+00:00
4044,58,35,NO,sell,39.85,118.17,0.337221,726391,0x05124807ff0d,2025-11-30T19:50:24.120420+00:00
7391,237,31,NO,buy,16.63,28.81,0.577318,529434,0x0937b30bf727,2025-11-30T19:48:37.699723+00:00
13257,540,35,NO,buy,46.99,116.52,0.403291,602258,0x060e9f0e36a6,2025-11-30T19:48:14.607519+00:00
12995,527,26,NO,sell,38.73,72.04,0.537634,769787,0x06125a05e657,2025-11-30T19:45:38.686250+00:00
6667,201,36,YES,sell,24.64,43.48,0.566703,249471,0x0a2df90a57c9,2025-11-30T19:43:10.925906+00:00
6623,198,42,YES,buy,14.36,27.95,0.513773,739588,0x0f2449051df8,2025-11-30T19:42:49.770022+00:00
8418,289,22,NO,sell,14.7,22.73,0.64676,506454,0x020be60de43a,2025-11-30T19:42:00.489641+00:00
8417,289,36,NO,sell,44.05,79.13,0.556673,921156,0x05aa4006d9a2,2025-11-30T19:40:00.489641+00:00
9424,338,44,NO,buy,32.28,62.06,0.520105,912029,0x0caab603de59,2025-11-30T19:39:58.349984+00:00
9310,332,32,NO,buy,43.61,66.15,0.6593,822910,0x04a52d019e24,2025-11-30T19:38:09.905483+00:00
13192,537,37,NO,buy,46.95,129.44,0.36272,855294,0x0d985e0f0f8a,2025-11-30T19:36:03.373956+00:00
10250,383,19,YES,sell,22.18,41.26,0.537603,169416,0x042d8d0480c7,2025-11-30T19:34:54.596740+00:00
11830,466,22,NO,sell,40.26,68.2,0.5903,170461,0x057cea0caa81,2025-11-30T19:34:32.446701+00:00
13333,543,38,NO,buy,22.23,34.63,0.641937,308793,0x0c873e0af8f2,2025-11-30T19:34:16.865683+00:00
4654,91,44,YES,sell,4.32,8.42,0.513185,194079,0x0d0974036b8a,2025-11-30T19:34:04.486544+00:00
5179,121,33,NO,buy,26.92,46.4,0.580182,285220,0x0609ae0a59bd,2025-11-30T19:32:59.491061+00:00
10405,392,17,YES,buy,8.86,13.05,0.679177,474068,0x0cb21307fb5a,2025-11-30T19:31:29.150760+00:00
7559,246,22,NO,buy,35.19,83.18,0.42306,736630,0x081b86072479,2025-11-30T19:31:21.318200+00:00
9423,338,20,YES,sell,43.28,86.95,0.497783,139231,0x0bc05e0b3537,2025-11-30T19:29:56.349984+00:00
6647,200,43,YES,sell,37.12,62.77,0.591329,501035,0x0289e709fac4,2025-11-30T19:29:50.856054+00:00
9264,329,30,NO,sell,37.56,78.57,0.478042,697785,0x08c31009ee6a,2025-11-30T19:28:47.737607+00:00
11657,458,16,YES,sell,13.87,37.84,0.366591,339615,0x0dfa22045498,2025-11-30T19:27:58.832761+00:00
11360,443,44,NO,buy,15.14,30.36,0.49868,657733,0x0ee4170c7ecb,2025-11-30T19:27:38.772966+00:00
10155,379,21,YES,sell,4.46,6.43,0.694018,944334,0x0a34440286b6,2025-11-30T19:27:25.240051+00:00
12994,527,40,YES,buy,20.97,44.1,0.475531,88017,0x0768ea0ecff1,2025-11-30T19:26:40.686250+00:00
11656,458,42,NO,sell,41.44,77.51,0.534642,369114,0x0372250a41d8,2025-11-30T19:22:13.832761+00:00
8416,289,26,YES,sell,25.26,46.76,0.540206,761191,0x019d660a78ef,2025-11-30T19:21:13.489641+00:00
4776,96,32,YES,sell,38.75,68.74,0.563731,204129,0x05f2de025ffe,2025-11-30T19:21:12.923637+00:00
4160,64,35,NO,buy,6.43,9.71,0.662059,18233,0x0b12de0a1a4d,2025-11-30T19:21:00.573924+00:00
9903,364,30,NO,sell,5.33,12.79,0.416588,746217,0x03cef10d1652,2025-11-30T19:21:00.253548+00:00
9509,343,26,YES,buy,43.55,94.26,0.462002,551786,0x0ac11505fd14,2025-11-30T19:20:38.699582+00:00
9088,321,20,NO,sell,36.24,52.6,0.689025,851264,0x0647d60c5f65,2025-11-30T19:19:35.084155+00:00
5483,135,28,NO,sell,31.92,81.04,0.393886,557228,0x071aea09460b,2025-11-30T19:19:00.571274+00:00
4043,58,21,YES,buy,36.28,73.23,0.495431,725156,0x0da811055efd,2025-11-30T19:17:44.120420+00:00
5482,135,21,YES,sell,4.3,8.22,0.523095,187767,0x04dcd50ce2bf,2025-11-30T19:16:12.571274+00:00
9309,332,20,YES,buy,34.94,78.59,0.444612,574356,0x0399a70c9427,2025-11-30T19:15:56.905483+00:00
6398,186,42,YES,sell,1.72,2.49,0.691111,7128,0x0a60ec0f33ce,2025-11-30T19:14:07.957147+00:00
7558,246,20,NO,sell,8.61,12.4,0.6941,727796,0x0204da040b18,2025-11-30T19:12:07.318200+00:00
5178,121,22,NO,buy,39.35,112.62,0.349401,919040,0x09f3110d2dda,2025-11-30T19:11:54.491061+00:00
4139,63,31,NO,sell,29.44,43.19,0.681693,472579,0x0d593e022ea7,2025-11-30T19:11:35.491714+00:00
8464,291,36,NO,buy,41.4,68.44,0.604883,296409,0x09b9d10a6579,2025-11-30T19:11:29.664216+00:00
6092,166,30,NO,sell,26.59,43.79,0.607195,865400,0x03ef63045664,2025-11-30T19:10:46.822578+00:00
12527,504,20,YES,buy,25.85,60.06,0.430373,608605,0x0866540e2687,2025-11-30T19:10:22.007871+00:00
5799,151,30,NO,sell,49.4,75.47,0.654596,142498,0x02a0cc045c94,2025-11-30T19:09:47.782167+00:00
4427,81,42,NO,sell,33.15,48.69,0.680875,198509,0x0bf308064e79,2025-11-30T19:09:14.615018+00:00
5798,151,20,YES,sell,46.62,87.31,0.533956,938414,0x046f6a08aee7,2025-11-30T19:08:16.782167+00:00
9508,343,43,YES,buy,33.12,103.41,0.32029,345114,0x01fef80921f6,2025-11-30T19:07:40.699582+00:00
6488,190,18,YES,sell,48.46,120.46,0.402291,698790,0x0e19620819d1,2025-11-30T19:07:01.262174+00:00
13191,537,44,NO,buy,30.74,49.67,0.61886,515744,0x0cc57b04ee68,2025-11-30T19:06:41.373956+00:00
7302,232,28,NO,buy,34.78,78.38,0.443714,638258,0x03fa3d09d7d0,2025-11-30T19:06:09.356039+00:00
6646,200,21,YES,buy,5.86,11.35,0.516226,235677,0x09a7cf0d392b,2025-11-30T19:05:50.856054+00:00
8350,285,41,NO,sell,30.0,57.96,0.517597,48324,0x0c8d7c0662bb,2025-11-30T19:04:24.251341+00:00
8463,291,18,NO,sell,42.4,104.76,0.404721,407512,0x098e0708c817,2025-11-30T19:04:16.664216+00:00
10760,409,37,NO,sell,19.43,31.1,0.624698,97723,0x0872210b280c,2025-11-30T19:04:12.516855+00:00
13332,543,31,YES,buy,20.22,34.02,0.594304,120706,0x0c80910be844,2025-11-30T19:04:09.865683+00:00
9902,364,30,YES,buy,41.59,91.73,0.453381,239532,0x0c4dcc06f4a4,2025-11-30T19:01:26.253548+00:00
10249,383,29,NO,buy,27.65,46.35,0.596498,204680,0x0c95d1065664,2025-11-30T19:00:26.596740+00:00
11901,472,24,YES,sell,25.56,49.19,0.519573,524677,0x0922770d817f,2025-11-30T18:59:14.686643+00:00
7390,237,40,NO,sell,23.34,38.98,0.598758,127741,0x0d9dd7036192,2025-11-30T18:56:35.699723+00:00
4653,91,19,NO,buy,22.07,33.26,0.663601,689108,0x0dd8bf03d92b,2025-11-30T18:55:21.486544+00:00
6645,200,39,YES,buy,48.68,129.49,0.375949,830530,0x0c25a5099e8d,2025-11-30T18:54:58.856054+00:00
7557,246,24,YES,buy,44.69,131.46,0.339951,305285,0x0e2e29067c66,2025-11-30T18:53:38.318200+00:00
4159,64,19,NO,buy,39.03,98.8,0.395056,251021,0x0379b7024a34,2025-11-30T18:52:11.573924+00:00
6622,198,15,NO,buy,10.53,17.86,0.589541,565458,0x05182d0c0048,2025-11-30T18:50:45.770022+00:00
13256,540,20,YES,sell,38.72,75.79,0.510875,358844,0x072577035f84,2025-11-30T18:50:27.607519+00:00
4426,81,32,NO,sell,34.54,70.1,0.492695,672712,0x06e80a05f319,2025-11-30T18:46:53.615018+00:00
5177,121,44,NO,sell,8.17,13.19,0.619239,103704,0x05e77b01af06,2025-11-30T18:46:00.491061+00:00
9422,338,20,YES,sell,18.31,44.03,0.415882,431333,0x0221c103c8c4,2025-11-30T18:45:12.349984+00:00
9263,329,44,NO,sell,20.96,32.71,0.64087,739278,0x0cedcb0c2b23,2025-11-30T18:44:34.737607+00:00
13331,543,26,NO,sell,48.91,125.56,0.389538,24655,0x0b97d107ade1,2025-11-30T18:44:04.865683+00:00
6666,201,31,YES,buy,1.03,1.58,0.650904,200181,0x0ab22e0a6a22,2025-11-30T18:43:17.925906+00:00
13379,545,24,YES,sell,1.98,3.18,0.622276,74697,0x07154203d9c6,2025-11-30T18:42:56.026962+00:00
4042,58,26,NO,sell,14.7,27.3,0.538462,11644,0x05f2380a6b25,2025-11-30T18:42:18.120420+00:00
10404,392,26,YES,buy,35.02,58.85,0.595092,855956,0x0d1dec0452be,2025-11-30T18:41:18.150760+00:00
12526,504,15,NO,sell,15.62,25.4,0.614893,481092,0x06756d055d81,2025-11-30T18:39:49.007871+00:00
12525,504,25,NO,buy,15.7,33.16,0.473457,892297,0x0c69ae01b378,2025-11-30T18:39:39.007871+00:00
11829,466,34,YES,sell,27.56,42.4,0.650033,120760,0x0f28790ca057,2025-11-30T18:37:03.446701+00:00
10154,379,42,NO,buy,39.51,70.27,0.562259,54599,0x0b8f4203ffcd,2025-11-30T18:35:40.240051+00:00
5797,151,44,NO,buy,38.03,107.36,0.354239,398798,0x079efe091744,2025-11-30T18:35:33.782167+00:00
9308,332,40,NO,buy,24.17,42.66,0.566573,586079,0x075bf906e6dd,2025-11-30T18:34:49.905483+00:00
9262,329,41,YES,buy,26.79,67.56,0.396539,58221,0x0bd96b0bbfd7,2025-11-30T18:34:09.737607+00:00
6644,200,35,YES,sell,9.67,20.06,0.48195,579971,0x057dbe087882,2025-11-30T18:34:00.856054+00:00
6091,166,24,NO,buy,5.17,8.27,0.625106,605383,0x0b21a60c3757,2025-11-30T18:33:45.822578+00:00
11359,443,22,YES,buy,22.59,32.48,0.695414,987409,0x08c5260f0e76,2025-11-30T18:32:10.772966+00:00
7556,246,40,YES,sell,34.01,85.4,0.398253,455955,0x0d431f0547e8,2025-11-30T18:32:08.318200+00:00
13145,535,20,NO,sell,7.44,21.94,0.339082,213591,0x080354070c23,2025-11-30T18:32:04.220222+00:00
4138,63,16,YES,sell,41.75,126.25,0.330692,645883,0x0f35e802f87a,2025-11-30T18:30:52.491714+00:00
12993,527,39,YES,sell,38.65,70.64,0.547127,28841,0x021a6e0e9bb4,2025-11-30T18:30:26.686250+00:00
4775,96,22,YES,buy,49.34,71.43,0.690717,905639,0x0b6db90750f9,2025-11-30T18:29:05.923637+00:00
8462,291,31,YES,sell,45.36,84.52,0.536699,983369,0x056cbb026253,2025-11-30T18:29:04.664216+00:00
8415,289,29,NO,sell,32.74,55.8,0.58676,25660,0x0399e90593ae,2025-11-30T18:28:11.489641+00:00
12992,527,40,NO,sell,8.89,17.6,0.505101,157189,0x09a88b052be8,2025-11-30T18:28:09.686250+00:00
4041,58,22,NO,sell,17.48,35.12,0.497723,512233,0x06b9e2046f70,2025-11-30T18:27:40.120420+00:00
13144,535,42,YES,sell,16.64,24.69,0.673947,625276,0x05e68c09e668,2025-11-30T18:27:37.220222+00:00
9087,321,23,NO,buy,35.02,82.66,0.42367,374711,0x05301d08c481,2025-11-30T18:27:10.084155+00:00
10403,392,21,YES,sell,44.6,122.35,0.364541,897794,0x06af2601a7df,2025-11-30T18:25:55.150760+00:00
5796,151,32,NO,sell,34.81,52.63,0.661461,992325,0x0356f30c25d5,2025-11-30T18:25:23.782167+00:00
5481,135,24,YES,buy,32.1,95.68,0.335485,759417,0x09c96a0f3d8a,2025-11-30T18:24:53.571274+00:00
11655,458,30,YES,sell,32.8,56.61,0.579407,427725,0x0a21700d85bc,2025-11-30T18:24:15.832761+00:00
7389,237,41,YES,sell,38.51,98.87,0.389504,176025,0x0cf75d0f0a26,2025-11-30T18:23:24.699723+00:00
9901,364,35,NO,buy,1.5,2.29,0.655305,992638,0x05a3ab0f0d0a,2025-11-30T18:23:20.253548+00:00
9507,343,43,YES,buy,29.57,88.53,0.334027,107931,0x06a7e1032f40,2025-11-30T18:22:28.699582+00:00
13190,537,33,YES,buy,26.85,74.51,0.360354,396893,0x0952100691ef,2025-11-30T18:21:35.373956+00:00
4425,81,29,NO,sell,29.64,97.84,0.302939,881152,0x0c1fa20f04b7,2025-11-30T18:21:11.615018+00:00
12573,506,22,NO,sell,37.86,99.34,0.38112,186391,0x0bdd4002b905,2025-11-30T18:21:10.178632+00:00
5176,121,23,YES,buy,34.51,74.58,0.462713,94296,0x06cbac0bc4ca,2025-11-30T18:21:04.491061+00:00
13189,537,25,YES,buy,45.57,128.93,0.353451,70785,0x0e6bfb07c77d,2025-11-30T18:20:57.373956+00:00
6665,201,43,YES,buy,42.15,113.41,0.371657,265936,0x0a14840edce7,2025-11-30T18:18:39.925906+00:00
8349,285,23,YES,sell,26.09,64.25,0.406096,207395,0x0e54e40f417b,2025-11-30T18:17:45.251341+00:00
6397,186,19,NO,sell,23.27,33.95,0.685357,587225,0x09e0a40ac34b,2025-11-30T18:17:14.957147+00:00
12572,506,26,YES,buy,28.12,53.61,0.524573,918333,0x0a78a20755d3,2025-11-30T18:17:07.178632+00:00
13255,540,17,YES,sell,33.13,50.29,0.658757,455963,0x0b59dc0d43f8,2025-11-30T18:16:28.607519+00:00
7555,246,20,NO,buy,34.73,68.09,0.510084,757908,0x0e324c0ef528,2025-11-30T18:16:18.318200+00:00
11828,466,39,YES,sell,43.7,86.86,0.503101,965972,0x0d37bf0b7dad,2025-11-30T18:16:08.446701+00:00
5175,121,41,YES,sell,49.63,104.83,0.473451,260520,0x01f0c00b2f00,2025-11-30T18:15:37.491061+00:00
6621,198,39,YES,buy,22.14,67.01,0.330399,654789,0x0c234705ac58,2025-11-30T18:15:29.770022+00:00
13188,537,17,NO,buy,21.57,46.07,0.468229,167486,0x0ea26f05c7fa,2025-11-30T18:12:46.373956+00:00
10759,409,19,YES,sell,14.79,22.55,0.655957,857529,0x07d1a406e99c,2025-11-30T18:12:28.516855+00:00
8348,285,43,YES,buy,39.85,96.99,0.410865,838584,0x0cb3100bc6d4,2025-11-30T18:12:28.251341+00:00
10248,383,33,YES,sell,16.74,31.04,0.539287,494558,0x0a3fcf0aae4f,2025-11-30T18:11:58.596740+00:00
12524,504,36,YES,sell,18.33,30.42,0.602549,75297,0x0bc30203a667,2025-11-30T18:11:44.007871+00:00
6396,186,17,NO,sell,2.15,4.0,0.537881,990088,0x038cc901e1df,2025-11-30T18:11:08.957147+00:00
6643,200,31,NO,buy,11.51,23.33,0.493461,531221,0x0d7a4502dbd4,2025-11-30T18:10:53.856054+00:00
9307,332,17,NO,buy,35.32,63.25,0.558459,620116,0x02892e0d15b6,2025-11-30T18:10:33.905483+00:00
6487,190,20,NO,buy,7.34,19.97,0.367577,925911,0x03ae500877a2,2025-11-30T18:09:55.262174+00:00
7301,232,33,NO,buy,27.69,67.32,0.411303,1694,0x0abd900d4f9e,2025-11-30T18:09:03.356039+00:00
10153,379,22,YES,buy,17.28,45.71,0.378047,573684,0x0a229903fc7e,2025-11-30T18:08:23.240051+00:00
11900,472,23,NO,buy,17.63,35.67,0.494303,628192,0x03be9505cb18,2025-11-30T18:07:19.686643+00:00
13143,535,44,YES,sell,43.44,63.7,0.681945,465979,0x0b456c0ccd8b,2025-11-30T18:06:18.220222+00:00
4424,81,40,NO,sell,21.77,48.31,0.45059,265239,0x071af008deae,2025-11-30T18:06:08.615018+00:00
12991,527,36,YES,sell,6.36,9.94,0.63985,238418,0x0b1e6b0885e7,2025-11-30T18:03:40.686250+00:00
13142,535,41,NO,sell,22.96,34.95,0.656945,934638,0x0297320282f6,2025-11-30T18:03:09.220222+00:00
6920,213,44,YES,sell,38.81,78.68,0.493241,517643,0x023064086dba,2025-11-30T18:01:40.909440+00:00
11344,442,38,NO,sell,23.22,71.16,0.32629,262728,0x0e7c0908b4e7,2025-11-30T18:00:11.693234+00:00
4137,63,29,NO,sell,29.98,68.02,0.440777,485172,0x02b682067e0e,2025-11-30T17:59:51.491714+00:00
10247,383,30,YES,sell,4.37,7.3,0.598355,451176,0x0e047304b0d7,2025-11-30T17:59:02.596740+00:00
11654,458,32,YES,sell,29.36,44.13,0.665324,572816,0x0d994d05a515,2025-11-30T17:57:16.832761+00:00
4040,58,41,NO,sell,42.73,67.58,0.632292,925457,0x02e99805fd1d,2025-11-30T17:56:44.120420+00:00
12571,506,32,NO,sell,10.46,22.2,0.471143,119283,0x07af370de72e,2025-11-30T17:56:33.178632+00:00
4652,91,32,YES,buy,32.97,61.93,0.532412,213137,0x0c787c0e53da,2025-11-30T17:56:18.486544+00:00
4158,64,19,NO,sell,31.15,47.03,0.662343,227130,0x01d477059ee3,2025-11-30T17:55:01.573924+00:00
11358,443,34,YES,buy,25.84,58.83,0.439195,585606,0x053efb062b88,2025-11-30T17:54:43.772966+00:00
8347,285,18,YES,buy,44.28,66.23,0.668543,961933,0x0ac8c805dc19,2025-11-30T17:54:41.251341+00:00
9086,321,39,NO,buy,10.28,22.25,0.46195,435327,0x0abeb00efd85,2025-11-30T17:54:28.084155+00:00
