id,tx_hash,network,block_number,status,error_message,created_at,updated_at
136,synthetic_market_19,testnet,5601966,SUCCESS,,2025-11-30T09:04:55.208738+00:00,2025-11-30T09:04:55.208750+00:00
137,synthetic_market_10,testnet,5669348,SUCCESS,,2025-11-30T09:04:55.217707+00:00,2025-11-30T09:04:55.217716+00:00
139,0x059c710c3201,testnet,1309683,SUCCESS,,2025-11-30T09:04:55.229565+00:00,2025-11-30T09:04:55.229577+00:00
140,0x0c209107eee0,testnet,3344145,SUCCESS,,2025-11-30T09:04:55.234687+00:00,2025-11-30T09:04:55.234697+00:00
141,synthetic_market_1,testnet,2766897,SUCCESS,,2025-11-30T09:04:55.242373+00:00,2025-11-30T09:04:55.242385+00:00
142,0x07a5860b70f5,testnet,9063182,SUCCESS,,2025-11-30T09:04:55.249673+00:00,2025-11-30T09:04:55.249680+00:00
143,synthetic_market_7,testnet,5459632,SUCCESS,,2025-11-30T09:04:55.253193+00:00,2025-11-30T09:04:55.253199+00:00
145,synthetic_market_12,testnet,5073939,SUCCESS,,2025-11-30T09:04:55.269324+00:00,2025-11-30T09:04:55.269333+00:00
147,0x0bde09022819,testnet,1788007,SUCCESS,,2025-11-30T09:04:55.286545+00:00,2025-11-30T09:04:55.286555+00:00
148,synthetic_market_5,testnet,7853325,SUCCESS,,2025-11-30T09:04:55.297515+00:00,2025-11-30T09:04:55.297524+00:00
149,0x0a5b470dbb59,testnet,6642825,SUCCESS,,2025-11-30T09:04:55.306369+00:00,2025-11-30T09:04:55.306377+00:00
152,0x0412890d6ca3,testnet,5428484,SUCCESS,,2025-11-30T09:04:55.334255+00:00,2025-11-30T09:04:55.334264+00:00
153,0x07ae540f2de3,testnet,8429582,SUCCESS,,2025-11-30T09:04:55.338364+00:00,2025-11-30T09:04:55.338372+00:00
154,0x02b91f0909a8,testnet,2886213,SUCCESS,,2025-11-30T09:04:55.346979+00:00,2025-11-30T09:04:55.346988+00:00
156,0x0cc60f08ca56,testnet,5191851,SUCCESS,,2025-11-30T09:04:55.358019+00:00,2025-11-30T09:04:55.358025+00:00
157,0x04e6fb05c29d,testnet,1019255,SUCCESS,,2025-11-30T09:04:55.365500+00:00,2025-11-30T09:04:55.365510+00:00
158,0x06beab07f6db,testnet,7899262,SUCCESS,,2025-11-30T09:04:55.370204+00:00,2025-11-30T09:04:55.370213+00:00
159,0x0361700de2fb,testnet,8693917,SUCCESS,,2025-11-30T09:04:55.373479+00:00,2025-11-30T09:04:55.373484+00:00
160,synthetic_market_26,testnet,3491686,SUCCESS,,2025-11-30T09:04:55.379066+00:00,2025-11-30T09:04:55.379076+00:00
161,0x0cb7a205a032,testnet,5490185,SUCCESS,,2025-11-30T09:04:55.387579+00:00,2025-11-30T09:04:55.387587+00:00
162,0x07b0620ac054,testnet,6089225,SUCCESS,,2025-11-30T09:04:55.390946+00:00,2025-11-30T09:04:55.390953+00:00
163,0x080f3806dbdb,testnet,7728797,SUCCESS,,2025-11-30T09:04:55.401436+00:00,2025-11-30T09:04:55.401443+00:00
164,0x09b4640918cb,testnet,3770261,SUCCESS,,2025-11-30T09:04:55.408659+00:00,2025-11-30T09:04:55.408669+00:00
165,0x0c5ceb0d7efb,testnet,5473605,SUCCESS,,2025-11-30T09:04:55.417446+00:00,2025-11-30T09:04:55.417453+00:00
166,0x0df7fb09ddde,testnet,5423553,SUCCESS,,2025-11-30T09:04:55.427086+00:00,2025-11-30T09:04:55.427105+00:00
167,0x0b0bec0d825b,testnet,6656129,SUCCESS,,2025-11-30T09:04:55.436487+00:00,2025-11-30T09:04:55.436495+00:00
168,synthetic_market_9,testnet,2208160,SUCCESS,,2025-11-30T09:04:55.441578+00:00,2025-11-30T09:04:55.441586+00:00
169,0x0d8a930dd8bb,testnet,5392793,SUCCESS,,2025-11-30T09:04:55.451228+00:00,2025-11-30T09:04:55.451235+00:00
170,0x07978605fa5d,testnet,9565213,SUCCESS,,2025-11-30T09:04:55.459780+00:00,2025-11-30T09:04:55.459790+00:00
171,0x03224d089fee,testnet,5871570,SUCCESS,,2025-11-30T09:04:55.469768+00:00,2025-11-30T09:04:55.469777+00:00
172,0x0af13908631c,testnet,1030183,SUCCESS,,2025-11-30T09:04:55.478151+00:00,2025-11-30T09:04:55.478164+00:00
175,0x074ccb04659e,testnet,2885049,SUCCESS,,2025-11-30T09:04:55.496663+00:00,2025-11-30T09:04:55.496674+00:00
176,0x0870360d4746,testnet,9889099,SUCCESS,,2025-11-30T09:04:55.501292+00:00,2025-11-30T09:04:55.501301+00:00
177,0x05f2380a6b25,testnet,7609344,SUCCESS,,2025-11-30T09:04:55.507768+00:00,2025-11-30T09:04:55.507775+00:00
179,0x08e9bd046efc,testnet,1860177,SUCCESS,,2025-11-30T09:04:55.520897+00:00,2025-11-30T09:04:55.520904+00:00
180,0x063f6506c0dd,testnet,6525832,SUCCESS,,2025-11-30T09:04:55.528793+00:00,2025-11-30T09:04:55.528807+00:00
182,0x0ea8680bf54b,testnet,1244083,SUCCESS,,2025-11-30T09:04:55.544165+00:00,2025-11-30T09:04:55.544176+00:00
